Frame,Fragment_Type,Count
0,O2,98
0,O4,1
0,H2,200
0,H,1
1,O2,100
1,H,185
1,H2,108
2,O2,100
2,H,209
2,H2,96
3,O2,100
3,H,231
3,H2,85
4,O2,100
4,H,265
4,H2,68
5,O2,100
5,H,295
5,H2,53
6,O2,100
6,H,363
6,H2,19
7,O2,98
7,HO2,2
7,H,395
7,H2,2
8,O2,97
8,HO2,3
8,H,398
9,O2,96
9,HO2,4
9,H,391
9,H2,3
10,O2,95
10,HO2,5
10,H,386
10,H2,5
11,O2,95
11,HO2,5
11,H,368
11,H2,14
12,O2,95
12,HO2,5
12,H,340
12,H2,28
13,O2,94
13,HO2,5
13,O,1
13,HO,1
13,H,315
13,H2,40
14,O2,94
14,HO2,5
14,O,1
14,HO,1
14,H,295
14,H2,50
15,O2,93
15,HO2,6
15,HO,2
15,H,273
15,H2,60
16,O2,93
16,HO2,6
16,HO,2
16,H2,72
16,H,249
17,O2,92
17,HO2,7
17,HO,2
17,H2,97
17,H,198
18,O2,90
18,HO2,9
18,HO,1
18,O,1
18,H2,105
18,H,181
19,O2,90
19,HO2,9
19,HO,1
19,O,1
19,H2,112
19,H,167
20,O2,91
20,HO2,8
20,HO,1
20,O,1
20,H2,108
20,H,176
21,O2,91
21,HO2,8
21,HO,1
21,O,1
21,H,206
21,H2,93
22,O2,90
22,HO2,9
22,HO,1
22,O,1
22,H,229
22,H2,81
23,O2,89
23,HO2,10
23,HO,1
23,O,1
23,H,282
23,H2,54
24,O2,89
24,HO2,10
24,HO,1
24,O,1
24,H,314
24,H2,38
25,O2,89
25,HO2,10
25,HO,1
25,O,1
25,H,334
25,H2,28
26,O2,89
26,HO2,10
26,HO,1
26,O,1
26,H,344
26,H2,23
27,O2,89
27,HO2,10
27,O,1
27,HO,1
27,H,344
27,H2,23
28,O2,90
28,HO2,8
28,H2O2,1
28,O,1
28,HO,1
28,H,342
28,H2,24
29,O2,91
29,HO2,7
29,H2O2,1
29,O,1
29,HO,1
29,H,323
29,H2,34
30,O2,91
30,HO2,7
30,H2O2,1
30,O,1
30,HO,1
30,H,305
30,H2,43
31,O2,90
31,HO2,8
31,H2O2,1
31,O,1
31,HO,1
31,H,288
31,H2,51
32,O2,92
32,HO2,6
32,H2O2,1
32,O,1
32,HO,1
32,H,286
32,H2,53
33,O2,93
33,HO2,5
33,H2O2,1
33,O,1
33,HO,1
33,H2,72
33,H,249
34,O2,93
34,HO2,5
34,H2O2,1
34,O,1
34,HO,1
34,H2,83
34,H,227
35,O2,92
35,HO2,6
35,H2O2,1
35,O,1
35,HO,1
35,H2,99
35,H,194
36,O2,92
36,HO2,6
36,H2O2,1
36,O,1
36,HO,1
36,H2,98
36,H,196
37,O2,92
37,HO2,6
37,H2O2,1
37,O,1
37,HO,1
37,H2,97
37,H,198
38,O2,92
38,HO2,6
38,H2O2,1
38,O,1
38,HO,1
38,H2,92
38,H,208
39,O2,92
39,HO2,6
39,H2O2,1
39,O,2
39,H,245
39,H2,74
40,O2,91
40,HO2,7
40,H2O2,1
40,O,2
40,H,282
40,H2,55
41,O2,89
41,HO2,9
41,H2O2,1
41,O,2
41,H,312
41,H2,39
42,O2,89
42,HO2,10
42,O,2
42,H,331
42,H2,30
43,O2,90
43,HO2,9
43,O,2
43,H,348
43,H2,22
44,O2,89
44,HO2,9
44,O,4
44,H,342
44,H2,25
45,O2,90
45,HO2,8
45,O,4
45,H,335
45,H2,29
46,O2,90
46,HO2,8
46,O,4
46,H,327
46,H2,33
47,O2,91
47,HO2,6
47,HO,1
47,O,5
47,H,320
47,H2,37
48,O2,91
48,HO2,6
48,HO,1
48,O,5
48,H,314
48,H2,40
49,O2,91
49,HO2,5
49,HO,2
49,O,6
49,H,314
49,H2,40
50,O2,91
50,HO2,4
50,O,9
50,HO,1
50,H2,47
50,H,302
51,O2,92
51,HO2,3
51,O,8
51,HO,2
51,H2,65
51,H,266
52,O2,93
52,HO2,3
52,O,7
52,HO,1
52,H2,75
52,H,247
53,O2,92
53,HO2,4
53,O,7
53,HO,1
53,H2,79
53,H,238
54,O2,92
54,HO2,4
54,O,7
54,HO,1
54,H2,77
54,H,242
55,O2,92
55,HO2,4
55,O,7
55,HO,1
55,H2,82
55,H,232
56,O2,92
56,HO2,3
56,O,7
56,H2O2,1
56,HO,1
56,H,239
56,H2,78
57,O2,93
57,HO2,2
57,O,7
57,H2O2,1
57,HO,1
57,H,260
57,H2,68
58,O2,93
58,HO2,2
58,O,7
58,H2O2,1
58,HO,1
58,H,292
58,H2,52
59,O2,91
59,HO2,4
59,O,7
59,H2O2,1
59,HO,1
59,H,314
59,H2,40
60,O2,90
60,HO2,5
60,HO,2
60,O,6
60,H2O2,1
60,H,330
60,H2,31
61,O2,88
61,HO2,7
61,HO,4
61,O,6
61,H,332
61,H2,29
62,O2,88
62,HO2,6
62,H2O2,1
62,HO,4
62,O,6
62,H,331
62,H2,29
63,O2,88
63,HO2,6
63,H2O2,1
63,HO,4
63,O,6
63,H,315
63,H2,37
64,O2,88
64,HO2,6
64,H2O2,1
64,HO,4
64,O,6
64,H,303
64,H2,43
65,O2,88
65,HO2,6
65,H2O2,1
65,HO,4
65,O,6
65,H,305
65,H2,42
66,O2,87
66,HO2,7
66,H2O2,1
66,HO,4
66,O,6
66,H,294
66,H2,47
67,O2,87
67,HO2,7
67,H2O2,1
67,HO,6
67,O,4
67,H2,51
67,H,284
68,O2,87
68,HO2,7
68,H2O2,1
68,HO,6
68,O,4
68,H2,64
68,H,258
69,O2,86
69,HO2,9
69,H2O2,1
69,HO,5
69,O,3
69,H2,73
69,H,239
70,O2,86
70,HO2,9
70,H2O2,1
70,HO,5
70,O,3
70,H2,75
70,H,235
71,O2,87
71,HO2,8
71,H2O2,1
71,HO,5
71,O,3
71,H,230
71,H2,78
72,O2,86
72,HO2,9
72,H2O2,1
72,HO,6
72,O,2
72,H,226
72,H2,79
73,O2,87
73,HO2,8
73,H2O2,1
73,HO,7
73,O,1
73,H,222
73,H2,81
74,O2,88
74,HO2,8
74,HO,7
74,O,1
74,H,236
74,H2,75
75,O2,88
75,HO2,8
75,HO,6
75,O,2
75,H,261
75,H2,63
76,O2,87
76,HO2,9
76,HO,7
76,O,1
76,H,273
76,H2,56
77,O2,88
77,HO2,8
77,HO,6
77,O,2
77,H,283
77,H2,52
78,O2,88
78,HO2,8
78,HO,5
78,O,3
78,H,284
78,H2,52
79,O2,88
79,HO2,8
79,HO,5
79,O,3
79,H,288
79,H2,50
80,O2,89
80,HO2,8
80,HO,4
80,O,2
80,H,291
80,H2,49
81,O2,89
81,HO2,8
81,HO,4
81,O,2
81,H,297
81,H2,46
82,O2,90
82,HO2,7
82,HO,3
82,O,3
82,H,297
82,H2,47
83,O2,88
83,HO2,9
83,HO,3
83,O,3
83,H,293
83,H2,48
84,O2,87
84,HO2,9
84,H2O2,1
84,HO,3
84,O,3
84,H2,45
84,H,297
85,O2,87
85,HO2,8
85,H2O2,2
85,HO,3
85,O,3
85,H2,47
85,H,292
86,O2,87
86,HO2,8
86,H2O2,2
86,HO,3
86,O,3
86,H,278
86,H2,54
87,O2,87
87,HO2,8
87,H2O2,2
87,HO,3
87,O,3
87,H,248
87,H2,69
88,O2,86
88,HO2,9
88,H2O2,2
88,HO,3
88,O,3
88,H,239
88,H2,73
89,O2,86
89,HO2,9
89,H2O2,2
89,HO,2
89,O,4
89,H,252
89,H2,67
90,O2,86
90,HO2,9
90,H2O2,2
90,HO,3
90,O,3
90,H,249
90,H2,68
91,O2,85
91,HO2,10
91,H2O2,2
91,HO,3
91,O,3
91,H,256
91,H2,64
92,O2,85
92,HO2,10
92,H2O2,2
92,HO,4
92,O,2
92,H,255
92,H2,64
93,O2,85
93,HO2,10
93,H2O2,2
93,HO,4
93,O,2
93,H,265
93,H2,59
94,O2,83
94,HO2,11
94,H2O2,2
94,HO,5
94,O,3
94,H,263
94,H2,59
95,O2,85
95,HO2,9
95,H2O2,2
95,HO,5
95,O,3
95,H,273
95,H2,55
96,O2,85
96,HO2,9
96,HO,5
96,H2O2,1
96,O,5
96,H,275
96,H2,55
97,O2,85
97,HO2,9
97,O3,1
97,HO,5
97,O,4
97,H,281
97,H2,53
98,O2,85
98,HO2,9
98,O3,1
98,HO,5
98,O,4
98,H,299
98,H2,44
99,O2,86
99,HO2,8
99,O3,1
99,HO,6
99,O,3
99,H,291
99,H2,48
100,O2,85
100,HO2,9
100,O3,1
100,HO,5
100,O,4
100,H,297
100,H2,45
101,O2,87
101,HO2,7
101,O3,1
101,HO,4
101,O,5
101,H2,46
101,H,298
102,O2,86
102,HO2,8
102,O3,1
102,HO,5
102,O,4
102,H2,47
102,H,294
103,O2,85
103,HO2,9
103,O3,1
103,HO,4
103,O,5
103,H2,50
103,H,288
104,O2,84
104,HO2,10
104,O3,1
104,HO,3
104,O,5
104,H2O,1
104,H2,62
104,H,262
105,O2,83
105,HO2,10
105,O3,1
105,H2O2,1
105,HO,3
105,O,5
105,H2O,1
105,H,262
105,H2,61
106,O2,85
106,HO2,7
106,H2O2,2
106,O3,1
106,HO,3
106,O,5
106,H2O,1
106,H,273
106,H2,56
107,O2,86
107,HO2,7
107,H2O2,2
107,O3,1
107,HO,3
107,O,3
107,H2O,1
107,H,271
107,H2,57
108,O2,86
108,HO2,6
108,H2O2,3
108,O3,1
108,HO,3
108,O,3
108,H2O,1
108,H,262
108,H2,61
109,O2,85
109,HO2,7
109,H2O2,3
109,O3,1
109,HO,3
109,O,3
109,H2O,1
109,H,259
109,H2,62
110,O2,85
110,HO2,7
110,H2O2,3
110,O3,1
110,HO,3
110,O,3
110,H2O,1
110,H,281
110,H2,51
111,O2,85
111,HO2,7
111,H2O2,2
111,O3,1
111,HO,3
111,O,4
111,H2O,2
111,H,275
111,H2,54
112,O2,85
112,HO2,7
112,H2O2,2
112,O3,1
112,HO,2
112,O,5
112,H2O,2
112,H,276
112,H2,54
113,O2,84
113,HO2,8
113,H2O2,2
113,O3,1
113,HO,2
113,O,5
113,H2O,2
113,H,281
113,H2,51
114,O2,82
114,HO2,10
114,H2O2,2
114,O3,1
114,HO,3
114,O,5
114,H2O,1
114,H,288
114,H2,47
115,O2,82
115,HO2,11
115,H2O2,2
115,HO,4
115,O,5
115,H2O,1
115,H,282
115,H2,49
116,O2,81
116,HO2,12
116,H2O2,2
116,HO,4
116,O,5
116,H2O,1
116,H,281
116,H2,49
117,O2,81
117,HO2,12
117,H2O2,2
117,HO,4
117,O,5
117,H2O,1
117,H,271
117,H2,54
118,O2,82
118,H2O2,3
118,HO2,10
118,HO,4
118,O,5
118,H2O,1
118,H,279
118,H2,50
119,O2,82
119,H2O2,3
119,HO2,11
119,O,5
119,H2O,1
119,HO,2
119,H,280
119,H2,50
120,O2,82
120,H2O2,3
120,HO2,11
120,O,5
120,H2O,1
120,HO,2
120,H,270
120,H2,55
121,O2,82
121,H2O2,4
121,HO2,10
121,O,5
121,HO,2
121,H2O,1
121,H2,61
121,H,257
122,O2,81
122,H2O2,4
122,HO2,11
122,O,5
122,HO,2
122,H2O,1
122,H2,62
122,H,254
123,O2,82
123,H2O2,4
123,HO2,10
123,O,5
123,HO,2
123,H2O,1
123,H,253
123,H2,63
124,O2,82
124,H2O2,4
124,HO2,10
124,O,5
124,HO,2
124,H2O,1
124,H,261
124,H2,59
125,O2,82
125,H2O2,6
125,HO2,8
125,O,5
125,HO,2
125,H2O,1
125,H,245
125,H2,66
126,O2,82
126,H2O2,5
126,HO2,9
126,O,5
126,HO,3
126,H,241
126,H2,69
127,O2,82
127,H2O2,3
127,HO2,11
127,O,5
127,HO,3
127,H,245
127,H2,68
128,O2,82
128,H2O2,3
128,HO2,11
128,O,4
128,HO,4
128,H,262
128,H2,59
129,O2,80
129,HO2,12
129,H2O2,4
129,O,4
129,HO,4
129,H,257
129,H2,60
130,O2,80
130,HO2,12
130,H2O2,4
130,O,3
130,HO,5
130,H,258
130,H2,59
131,O2,80
131,HO2,11
131,H2O2,3
131,HO,8
131,O,4
131,H,262
131,H2,57
132,O2,79
132,HO2,14
132,H2O2,2
132,HO,7
132,O,3
132,H,264
132,H2,56
133,O2,78
133,HO2,13
133,H2O2,4
133,HO,7
133,O,3
133,H,259
133,H2,57
134,O2,79
134,HO2,12
134,H2O2,4
134,HO,8
134,O,2
134,H2,58
134,H,257
135,O2,80
135,HO2,10
135,HO,9
135,O,3
135,H2O2,4
135,H2,52
135,H,270
136,O2,81
136,HO2,10
136,HO,8
136,O,3
136,H2O2,3
136,H2O,1
136,H2,47
136,H,281
137,O2,82
137,HO2,8
137,HO,8
137,O,5
137,H2O2,3
137,H2O,1
137,H2,50
137,H,277
138,O2,81
138,HO2,10
138,HO,8
138,O,5
138,H2O2,2
138,H2O,1
138,H2,47
138,H,283
139,O2,82
